,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
538,7/9/14 19:08,7/9/14 19:11,Married,More than 20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Bachelor degree,West South Central,5,3,4,1,3.0,4.0,3.0
541,7/9/14 19:08,7/9/14 19:10,Married,11-15 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,3,2,4,1,1.0,2.0,1.0
542,7/9/14 19:08,7/9/14 19:10,Married,6-10 years,Once a month or less,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,3,2,3,0,3.0,4.0,3.0
546,7/9/14 19:07,7/9/14 19:10,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,homemaker,Female,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,4,2,4,1,3.0,3.0,3.0
549,7/9/14 19:06,7/9/14 19:08,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,4,2,5,0,1.0,1.0,1.0
551,7/9/14 19:06,7/9/14 19:07,Married,6-10 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,West North Central,4,3,5,1,2.0,5.0,1.0
552,7/9/14 19:06,7/9/14 19:08,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,1,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,homemaker,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,0,3,4,1,3.0,2.0,3.0
553,7/9/14 19:05,7/9/14 19:07,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,East South Central,5,4,5,0,3.0,3.0,3.0
555,7/9/14 19:05,7/9/14 19:07,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,4,3,3,0,5.0,5.0,3.0
557,7/9/14 19:02,7/9/14 19:05,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
561,7/9/14 19:05,7/9/14 19:07,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,4,4,5,0,3.0,5.0,3.0
563,7/9/14 18:42,7/9/14 19:06,Married,1-5 years,Once a month or less,On the couch/chair,On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Food Preparation and Serving Related Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,2,1,3,1,3.0,2.0,1.0
565,7/9/14 19:04,7/9/14 19:09,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Strongly disagree,Strongly agree,Neither agree nor disagree,disabled,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,3,2,4,1,1.0,5.0,3.0
569,7/9/14 18:59,7/9/14 19:06,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,1,0,1,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,3,3,4,0,1.0,4.0,3.0
570,7/9/14 19:03,7/9/14 19:05,Married,11-15 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,1,1,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,3,2,5,1,3.0,5.0,1.0
574,7/9/14 19:03,7/9/14 19:06,Married,16-20 years,Once a year or less,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain,3,3,3,0,3.0,3.0,3.0
575,7/9/14 19:03,7/9/14 19:05,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,3,2,4,0,1.0,1.0,1.0
580,7/9/14 19:02,7/9/14 19:04,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,New England,0,3,5,1,3.0,4.0,1.0
583,7/9/14 19:02,7/9/14 19:02,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
584,7/9/14 18:56,7/9/14 19:04,Married,6-10 years,Once a year or less,On the couch/chair,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,4,2,4,0,1.0,1.0,1.0
586,7/9/14 19:02,7/9/14 19:04,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,4,2,4,1,3.0,3.0,1.0
587,7/9/14 18:59,7/9/14 19:03,Married,1-5 years,Every night,Other (please specify),Other (please specify),0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Currently a stay-at-home mother,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,5,1,2.0,4.0,1.0
588,7/9/14 19:01,7/9/14 19:03,Married,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Sales and Related Occupations,Female,45-60,Did not disclose,High school degree,South Atlantic,0,3,2,1,1.0,1.0,1.0
589,7/9/14 19:01,7/9/14 19:04,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,1,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,2,2,4,1,2.0,3.0,3.0
591,7/9/14 19:00,7/9/14 19:02,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,1,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Strongly disagree,government,Female,45-60,"$150,000+",Some college or Associate degree,New England,5,3,3,1,4.0,3.0,1.0
592,7/9/14 19:00,7/9/14 19:02,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Graduate degree,New England,3,4,5,1,2.0,3.0,1.0
594,7/9/14 18:59,7/9/14 19:01,Divorced,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Support Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,4,2,5,1,1.0,1.0,1.0
595,7/9/14 18:59,7/9/14 19:01,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,1,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,4,3,5,1,3.0,5.0,3.0
596,7/9/14 18:59,7/9/14 19:01,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,4,4,5,1,1.0,2.0,3.0
599,7/9/14 18:59,7/9/14 19:00,Married,More than 20 years,Once a year or less,Separate bedroom,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,interior design,Female,45-60,Did not disclose,Bachelor degree,New England,0,3,4,1,2.0,4.0,1.0
600,7/9/14 18:58,7/9/14 19:00,In a domestic partnership or civil union,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,1.0,3.0
602,7/9/14 18:58,7/9/14 19:01,Married,6-10 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Food Preparation and Serving Related Occupations,Male,30-44,"$0 - $24,999",High school degree,Did not disclose,1,2,2,0,3.0,2.0,3.0
603,7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,4,4,5,1,3.0,3.0,3.0
604,7/9/14 18:58,7/9/14 19:01,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,Pacific,0,4,4,1,2.0,1.0,1.0
605,7/9/14 18:58,7/9/14 19:02,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Pacific,0,3,4,1,2.0,5.0,3.0
610,7/9/14 18:57,7/9/14 19:00,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Personal Care and Service Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,2,3,3,1,1.0,2.0,1.0
614,7/9/14 18:54,7/9/14 18:58,"Single, but cohabiting with a significant other",11-15 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Law enforcement,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,3,3,3,1,3.0,4.0,2.0
617,7/9/14 18:55,7/9/14 19:00,Married,More than 20 years,Once a year or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sales and Related Occupations,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,2,4,2,1,3.0,4.0,3.0
618,7/9/14 18:55,7/9/14 18:57,In a domestic partnership or civil union,6-10 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,0,2,5,1,2.0,2.0,1.0
619,7/9/14 18:55,7/9/14 18:57,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,5,1,3.0,3.0,3.0
620,7/9/14 18:55,7/9/14 18:57,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Business and Financial Operations Occupations,Female,45-60,Did not disclose,Graduate degree,East North Central,0,3,5,1,1.0,1.0,1.0
621,7/9/14 18:54,7/9/14 18:58,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,> 60,Did not disclose,Graduate degree,Mountain,0,4,5,0,3.0,4.0,3.0
622,7/9/14 18:55,7/9/14 18:58,In a domestic partnership or civil union,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,TEXTILES,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,2,2,3,1,3.0,1.0,3.0
627,7/9/14 18:54,7/9/14 18:57,Married,More than 20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sales and Related Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,4,4,4,0,3.0,4.0,4.0
628,7/9/14 18:54,7/9/14 18:57,Married,16-20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,1,0,0,1,0,0,0,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Neither agree nor disagree,"Farming, Fishing, and Forestry Occupations",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,2,3,3,1,5.0,5.0,3.0
631,7/9/14 18:54,7/9/14 18:56,Married,16-20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Bachelor degree,Middle Atlantic,0,2,4,1,3.0,2.0,2.0
633,7/9/14 18:53,7/9/14 18:55,Married,More than 20 years,Once a month or less,Separate bedroom,Separate bedroom,1,0,1,0,0,0,0,0,0,1,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,4,4,5,1,3.0,4.0,3.0
635,7/9/14 18:53,7/9/14 18:56,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,3,3,4,1,2.0,2.0,1.0
640,7/9/14 18:52,7/9/14 18:54,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,2,3,4,1,3.0,4.0,3.0
641,7/9/14 18:52,7/9/14 18:52,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
642,7/9/14 18:52,7/9/14 18:55,Married,1-5 years,Once a year or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,New England,1,1,4,1,1.0,2.0,1.0
644,7/9/14 18:51,7/9/14 18:53,Married,6-10 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,4,3,3,1,4.0,3.0,2.0
647,7/9/14 18:50,7/9/14 18:52,Married,More than 20 years,Once a month or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,3,3,1,1.0,2.0,1.0
650,7/9/14 18:50,7/9/14 18:53,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Somewhat agree,Somewhat agree,Somewhat agree,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,2,4,3,0,4.0,4.0,4.0
651,7/9/14 18:50,7/9/14 18:53,Married,More than 20 years,Once a month or less,Separate bedroom,Separate bedroom,1,0,1,0,0,0,0,0,0,0,1,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,4,5,1,3.0,4.0,1.0
655,7/9/14 18:50,7/9/14 19:07,Married,16-20 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,1,0,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Healthcare Support Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Pacific,2,3,3,0,3.0,4.0,3.0
656,7/9/14 18:49,7/9/14 18:52,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,3,4,4,0,3.0,5.0,1.0
658,7/9/14 18:48,7/9/14 18:51,Married,6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,3,2,3,0,2.0,2.0,3.0
659,7/9/14 18:48,7/9/14 18:51,Married,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Religious Education,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,4,2,5,1,2.0,2.0,3.0
660,7/9/14 18:48,7/9/14 18:52,Married,16-20 years,Every night,On the couch/chair,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,DISBLED,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,3.0,1.0
662,7/9/14 18:48,7/9/14 18:51,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,3,4,4,0,2.0,2.0,1.0
664,7/9/14 18:48,7/9/14 18:51,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,3,2,5,1,1.0,3.0,1.0
666,7/9/14 18:47,7/9/14 18:51,Married,More than 20 years,Once a year or less,On the couch/chair,Other (please specify),0,0,1,0,0,0,0,0,0,1,0,Immediately/ We've always slept in separate beds,Strongly disagree,Somewhat disagree,Somewhat disagree,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,3,3,5,1,1.0,2.0,2.0
668,7/9/14 18:47,7/9/14 18:51,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Research,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,3,1,4,1,3.0,2.0,1.0
669,7/9/14 18:47,7/9/14 18:49,Married,6-10 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,3,2,5,1,3.0,4.0,2.0
673,7/9/14 18:47,7/9/14 18:48,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,4,4,4,1,3.0,3.0,3.0
674,7/9/14 18:47,7/9/14 18:49,Married,More than 20 years,Every night,"Shared bedroom, different bed","Shared bedroom, different bed",1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,RETIRED,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,3,4,4,0,3.0,5.0,3.0
676,7/9/14 18:46,7/9/14 18:48,Married,More than 20 years,A few times per month,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,1,1,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,3,5,1,3.0,4.0,3.0
680,7/9/14 18:46,7/9/14 18:48,Married,1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Somewhat disagree,Architecture and Engineering Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,2,1,4,1,2.0,2.0,2.0
681,7/9/14 18:45,7/9/14 18:47,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,4,4,5,0,4.0,5.0,2.0
