,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
402,7/9/14 19:29,7/9/14 19:32,"Single, but cohabiting with a significant other",1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Transportation and Materials Moving Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,3,2,3,1,3.0,3.0,3.0
406,7/9/14 19:22,7/9/14 19:31,Married,6-10 years,Once a month or less,Separate bedroom,Separate bedroom,0,0,1,0,0,1,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Office and Administrative Support Occupations,Female,18-29,Did not disclose,Graduate degree,Pacific,0,1,5,1,3.0,2.0,2.0
407,7/9/14 19:29,7/9/14 19:32,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Somewhat agree,Somewhat agree,Production Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,3,4,3,1,2.0,4.0,4.0
411,7/9/14 19:28,7/9/14 19:29,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,1.0,4.0,3.0
413,7/9/14 19:28,7/9/14 19:28,Married,6-10 years,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
415,7/9/14 19:27,7/9/14 19:31,Married,11-15 years,Once a year or less,Other (please specify),Other (please specify),1,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,3,3,2,1,3.0,1.0,3.0
418,7/9/14 19:26,7/9/14 19:28,Married,1-5 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,1,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central,3,1,5,0,1.0,1.0,1.0
420,7/9/14 19:26,7/9/14 19:29,Separated,16-20 years,Once a month or less,On the couch/chair,On the couch/chair,1,0,0,0,0,1,0,0,0,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,non profit,Female,45-60,"$150,000+",Graduate degree,South Atlantic,5,3,5,1,3.0,3.0,1.0
421,7/9/14 19:26,7/9/14 19:29,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,3,1,4,1,1.0,1.0,1.0
422,7/9/14 19:26,7/9/14 19:29,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,1,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,5,0,5.0,5.0,3.0
